id_producto,nombre,categoria,subcategoria,marca,precio_lista,costo_unitario,fecha_alta
P0001,Desodorantes Costa Real 515,Cuidado Personal,Desodorantes,Costa Real,30.7,21.17,2020-12-27
P0002,Detergentes Inca Blanco 92,Limpieza,Detergentes,Inca Blanco,6.74,4.75,2020-10-19
P0003,Cervezas MaxHogar 13,Bebidas,Cervezas,MaxHogar,6.2,4.17,2019-01-28
P0004,Agua Pacifico Home 963,Bebidas,Agua,Pacifico Home,6.01,3.97,2019-05-12
P0005,Iluminacion Frescor 796,Hogar,Iluminacion,Frescor,70.49,47.16,2021-01-04
P0006,Organizadores Pacifico Home 5,Hogar,Organizadores,Pacifico Home,40.27,31.41,2020-01-28
P0007,Bolsas Rimac Hogar 314,Limpieza,Bolsas,Rimac Hogar,7.3,5.4,2020-10-12
P0008,Cervezas Nortex 155,Bebidas,Cervezas,Nortex,8.66,5.52,2022-10-02
P0009,Decoracion Nortex 621,Hogar,Decoracion,Nortex,33.13,22.66,2022-11-01
P0010,Papel higienico Nortex 936,Limpieza,Papel higienico,Nortex,18.95,13.56,2020-09-14
P0011,Licuadoras Andina 793,Electrohogar,Licuadoras,Andina,351.03,233.54,2022-09-22
P0012,Lejia Sureña 353,Limpieza,Lejia,Sureña,32.12,25.63,2018-05-20
P0013,Agua Trujillana 729,Bebidas,Agua,Trujillana,4.42,3.15,2021-12-09
P0014,Detergentes Limax 959,Limpieza,Detergentes,Limax,36.35,28.27,2022-01-13
P0015,Gaseosas Costa Real 946,Bebidas,Gaseosas,Costa Real,2.12,1.4,2024-05-13
P0016,Gaseosas Piurana 360,Bebidas,Gaseosas,Piurana,6.85,4.24,2018-01-31
P0017,Organizadores Vital 491,Hogar,Organizadores,Vital,69.29,49.39,2021-09-20
P0018,Textiles de hogar Vital 245,Hogar,Textiles de hogar,Vital,18.33,14.45,2023-02-13
P0019,Desodorantes Sureña 659,Cuidado Personal,Desodorantes,Sureña,16.6,13.01,2024-06-06
P0020,Energizantes Pacifico Home 788,Bebidas,Energizantes,Pacifico Home,15.64,9.81,2021-12-31
P0021,Aceites Costa Real 765,Abarrotes,Aceites,Costa Real,3.54,2.55,2021-11-03
P0022,Textiles de hogar Cusco Natural 600,Hogar,Textiles de hogar,Cusco Natural,28.13,20.57,2020-03-13
P0023,Desodorantes MaxHogar 129,Cuidado Personal,Desodorantes,MaxHogar,9.25,5.61,2020-09-28
P0024,Panaderia Pacifico Home 984,Abarrotes,Panaderia,Pacifico Home,5.3,3.73,2022-04-15
P0025,Iluminacion Trujillana 355,Hogar,Iluminacion,Trujillana,27.89,18.48,2018-07-03
P0026,Fideos Piurana 336,Abarrotes,Fideos,Piurana,22.47,15.61,2021-08-17
P0027,Cafe e infusiones Vital 698,Bebidas,Cafe e infusiones,Vital,13.13,10.21,2018-06-07
P0028,Agua Piurana 914,Bebidas,Agua,Piurana,12.24,9.41,2020-03-26
P0029,Televisores Cusco Natural 604,Electrohogar,Televisores,Cusco Natural,241.45,149.78,2018-01-07
P0030,Lejia Frescor 657,Limpieza,Lejia,Frescor,6.59,4.1,2020-05-22
P0031,Shampoo Limax 267,Cuidado Personal,Shampoo,Limax,37.29,24.75,2018-04-24
P0032,Jabon Wari 242,Cuidado Personal,Jabon,Wari,21.7,13.57,2023-02-18
P0033,Agua Costa Real 184,Bebidas,Agua,Costa Real,13.58,9.65,2019-10-20
P0034,Detergentes Wari 38,Limpieza,Detergentes,Wari,24.18,16.27,2018-04-13
P0035,Cuidado facial Pacifico Home 31,Cuidado Personal,Cuidado facial,Pacifico Home,6.52,4.52,2020-05-12
P0036,Jugos Sol Peruano 33,Bebidas,Jugos,Sol Peruano,8.39,6.64,2024-01-31
P0037,Shampoo Selecta 852,Cuidado Personal,Shampoo,Selecta,7.23,5.51,2023-12-20
P0038,Agua Trujillana 134,Bebidas,Agua,Trujillana,12.29,9.46,2024-05-13
P0039,Planchas MaxHogar 628,Electrohogar,Planchas,MaxHogar,741.53,456.73,2019-06-29
P0040,Cuidado dental Sol Peruano 7,Cuidado Personal,Cuidado dental,Sol Peruano,7.13,5.06,2021-01-01
P0041,Ventiladores Amauta 641,Electrohogar,Ventiladores,Amauta,327.15,255.51,2021-10-16
P0042,Cafe e infusiones Inca Blanco 722,Bebidas,Cafe e infusiones,Inca Blanco,4.92,3.71,2022-03-28
P0043,Menestras Selecta 743,Abarrotes,Menestras,Selecta,19.97,15.06,2021-06-19
P0044,Aceites Wari 329,Abarrotes,Aceites,Wari,27.07,21.0,2019-05-03
P0045,Cervezas Wari 263,Bebidas,Cervezas,Wari,5.72,3.46,2018-08-20
P0046,Agua Inca Blanco 788,Bebidas,Agua,Inca Blanco,20.38,14.62,2019-02-26
P0047,Aceites Cusco Natural 492,Abarrotes,Aceites,Cusco Natural,14.36,10.15,2023-11-03
P0048,Limpiadores de superficie Sol Peruano 153,Limpieza,Limpiadores de superficie,Sol Peruano,15.03,11.95,2021-08-05
P0049,Cafe e infusiones Cusco Natural 16,Bebidas,Cafe e infusiones,Cusco Natural,3.34,2.58,2021-07-31
P0050,Desodorantes Nortex 747,Cuidado Personal,Desodorantes,Nortex,11.24,7.41,2022-05-30
P0051,Microondas Kallpa 435,Electrohogar,Microondas,Kallpa,842.66,665.06,2023-08-08
P0052,Textiles de hogar Nortex 119,Hogar,Textiles de hogar,Nortex,15.6,9.44,2021-03-19
P0053,Gaseosas MaxHogar 118,Bebidas,Gaseosas,MaxHogar,3.62,2.89,2018-03-08
P0054,Aceites Costa Real 883,Abarrotes,Aceites,Costa Real,28.47,20.62,2022-10-22
P0055,Aceites Sureña 932,Abarrotes,Aceites,Sureña,33.0,23.49,2018-05-30
P0056,Iluminacion Amauta 298,Hogar,Iluminacion,Amauta,41.18,31.18,2022-03-09
P0057,Planchas Limax 514,Electrohogar,Planchas,Limax,63.45,49.18,2018-05-30
P0058,Shampoo Andina 771,Cuidado Personal,Shampoo,Andina,39.25,31.4,2022-10-16
P0059,Fideos Pacifico Home 591,Abarrotes,Fideos,Pacifico Home,3.08,1.91,2024-02-01
